A,A,A,A,A,A,A
B,B,B,B,B,B,B
C,C,C,C,C,C,C
D,D,D,D,D,D,D
E,E,E,E,E,E,E
F,F,F,F,F,F,F
G,G,G,G,G,G,G
A,G,F,E,D,C,B
B,A,G,F,E,D,C
C,B,A,G,F,E,D
D,C,B,A,G,F,E
E,D,C,B,A,G,F
F,E,D,C,B,A,G
G,F,E,D,C,B,A
A,F,D,B,G,E,C
B,G,E,C,A,F,D
C,A,F,D,B,G,E
D,B,G,E,C,A,F
E,C,A,F,D,B,G
F,D,B,G,E,C,A
G,E,C,A,F,D,B
A,E,B,F,C,G,D
B,F,C,G,D,A,E
C,G,D,A,E,B,F
D,A,E,B,F,C,G
E,B,F,C,G,D,A
F,C,G,D,A,E,B
G,D,A,E,B,F,C
A,D,G,C,F,B,E
B,E,A,D,G,C,F
C,F,B,E,A,D,G
D,G,C,F,B,E,A
E,A,D,G,C,F,B
F,B,E,A,D,G,C
G,C,F,B,E,A,D
A,C,E,G,B,D,F
